제목,작성일,조회수,분류,docid,mtgHmeDd,sno,mtgMtrRegSno,popup_url
이식신의 재발성 국소성 분절성 사구체신염(FSGS)에 다회 시행한 ‘마102-다 치료적성분채집술-혈장’ 요양급여 인정여부(1사례),2024-10-31,538,공개사례,9,20241031,1,0016,https://www.hira.or.kr/rc/insu/insuadtcrtr/InsuAdtCrtrPopup.do?mtgHmeDd=20241031&sno=1&mtgMtrRegSno=0016
심실 보조장치 치료술(VAD) 요양급여 대상여부(20사례),2024-09-30,38,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(86사례),2024-09-30,61,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가(6사례),2024-09-30,35,공개사례,,,,,
"두개안면기형에 실시한 양측 악안면교정수술[상악골 성형술(저51, 처42) 및 하악골 성형술(저52, 처43)] 수가 산정방법(2사례)",2024-09-30,806,공개사례,,,,,
‘자190-2 체외순환막형산화요법(ECMO)’ 요양급여 인정여부(6사례),2024-09-30,2134,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(31사례),2024-09-30,36,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(8사례),2024-09-30,19,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(5사례),2024-09-30,25,공개사례,,,,,
조혈모세포이식 분과위원회(71사례),2024-09-30,20,공개사례,,,,,
"검사결과 참조, 인공와우 요양급여 인정여부(7사례)",2024-09-30,997,공개사례,,,,,
골도보청기 이식술 요양급여 인정여부(1사례),2024-09-30,490,공개사례,,,,,
"[자동차보험][24-9-A-10] 환자상태 및 진료내역 참조, 척추 MRI 인정여부(8사례)",2024-09-24,2967,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(41사례),2024-08-30,64,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(12사례),2024-08-30,23,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam경구제 (품명: 에브리스디건조시럽) 요양급여 대상 여부(45사례),2024-08-30,64,공개사례,,,,,
당뇨병성 황반부종에 투여한 아일리아주사 인정여부에 대하여(2사례),2024-08-30,1908,공개사례,,,,,
1차 원거리 피판술 후 2차 피판분리술(flap division) 시행 관련 수술 수가 산정방법에 대하여(1사례),2024-08-30,51,공개사례,,,,,
조직확장기(tissue-expander) 제거 시 수술 수가 산정방법에 대하여(2사례),2024-08-30,49,공개사례,,,,,
유방보형물 제거 및 교체 관련 수술 수가 산정방법에 대하여(4사례),2024-08-30,1472,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(1사례),2024-08-30,21,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(15사례),2024-08-30,16,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(2사례),2024-08-30,17,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(80사례),2024-08-30,25,공개사례,,,,,
"뇌간의 악성 신생물에서, 조직학적 검사 없이 시행한 항암화학요법 인정여부(1사례)",2024-08-30,560,공개사례,,,,,
복부에 동시 시행한 복강경하 수술(직장 및 에스장절제술)과 관혈적수술(간절제술)의 수가 산정방법(1사례),2024-08-30,506,공개사례,,,,,
복막전이암으로 결장절제술 등과 동시 시행한 복막절제술 인정여부(2사례),2024-08-30,468,공개사례,,,,,
"[자동차보험] [24-8-A-6] 환자상태 및 진료내역 참조, 교통사고로 인한 두개내손상 등에 투여한 레비티라세탐 주사제 인정여부(2사례)",2024-08-05,254,공개사례,,,,,
"[자동차보험] [24-8-A-7] 환자상태 및 진료내역 참조, 교통사고환자의 수술시 마취 유도목적으로 사용된 레미마졸람베실산염 주사제 인정여부(2사례)",2024-08-05,411,공개사례,,,,,
"[자동차보험] [24-8-A-8] 환자상태 및 진료내역 참조, 교통사고로 인한 철결핍 환자에게 투여된 철이소말토시드착염 주사제 인정여부(2사례)",2024-08-05,869,공개사례,,,,,
"[자동차보험] [24-8-A-9] 환자상태 및 진료내역 참조, 교통사고로 환자의 수술부위 세척·소독 목적으로 투여된 타우로리딘 주사제 인정여부(3사례)",2024-08-05,558,공개사례,,,,,
두경부 동맥조영촬영 수가산정 방법에 대하여(1사례),2024-07-31,77,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(45사례),2024-07-31,77,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(12사례),2024-07-31,21,공개사례,,,,,
감량 수술(Debulking) 시행 시 수가 산정방법(5사례),2024-07-31,56,공개사례,,,,,
수지 첨부 절단창을 제자리에 봉합하는 경우 수가 산정방법(3사례),2024-07-31,80,공개사례,,,,,
'나569나 세포주기 및 핵산분석검사(형태계측검사)' 인정여부(4사례),2024-07-31,1529,공개사례,,,,,
유방전절제술 및 유방재건술 시 늑간신경에 시행한 신경이식술 요양급여 인정여부(1사례),2024-07-31,39,공개사례,,,,,
"유방암 국소재발로 유방전절제술 및 폐쐐기절제술과 동시 시행한 흉벽재건술, VRAM Flap 요양급여 인정여부(1사례)",2024-07-31,686,공개사례,,,,,
흉벽육종으로 흉벽종양절제술과 동시 시행한 피판작성술(근-피부) 요양급여 인정여부(1사례),2024-07-31,222,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(7사례),2024-07-31,19,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2024-07-31,24,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(2사례),2024-07-31,18,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(75사례),2024-07-31,16,공개사례,,,,,
상병 및 진료기록 등 참조 신경차단술 1일 최대산정횟수 300% 시행 인정여부(12사례),2024-07-31,436,공개사례,,,,,
상병 및 진료기록 등 참조 동일 날 신경차단술 최대 산정횟수 300% 및 마6 신경간내주사 또는 사41 수압팽창술 시행 인정여부(11사례),2024-07-31,2951,공개사례,,,,,
상병 및 진료기록 등 참조 동일 날 주신경과 세분된 분지신경에 동시 시행된 신경차단술 인정여부(5사례),2024-07-31,96,공개사례,,,,,
상병 및 진료기록 등 참조 동일 날 동일 부위에 두 가지 이상 신경차단술 시행 인정여부(9사례),2024-07-31,123,공개사례,,,,,
진료내역 참조 악성 신생물 상병으로 낮병동 반복 입원 인정여부(84사례),2024-07-31,2061,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주 등) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(41사례),2024-06-28,77,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(14사례),2024-06-28,19,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(3사례),2024-06-28,22,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(7사례),2024-06-28,17,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(77사례),2024-06-28,18,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(42사례),2024-06-28,63,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(1사례),2024-06-28,23,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 성과평가(12사례),2024-06-28,29,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(19사례),2024-06-28,16,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(4사례),2024-06-28,42,공개사례,,,,,
전이성 대장암 환자에게 실시한 간절제술 인정여부(4사례),2024-06-28,466,공개사례,,,,,
"결장암에서, 임상증상 및 종양표지자로 반응평가하여 변경 투여한 항암화학요법 인정여부(1사례)",2024-06-28,46,공개사례,,,,,
직경 2cm 이하 HER2 양성 유방암에 투여한 선행화학요법 TCHP 인정여부(3사례),2024-06-28,1646,공개사례,,,,,
폐색성 수면무호흡 상병에 실시한 악안면교정수술 인정여부(4사례),2024-06-28,2131,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(4사례),2024-06-28,11,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(50사례),2024-06-28,14,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부,2024-06-28,20,공개사례,,,,,
결장의 0.5cm 미만 용종에 시행한 자770 결장경하종양수술 인정여부(4사례),2024-06-28,4205,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2024-06-24,199,공개사례,,,,,
"[자동차보험][24-5-C-5] 환자상태 및 진료내역 참조, 입원 및 협의진료 인정여부(3사례)",2024-06-11,793,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(37사례),2024-06-04,82,공개사례,,,,,
‘자200-2가(1) 심율동 전환 제세동기 거치술-경정맥 접근-삽입술’ 인정여부(2사례),2024-06-04,17,공개사례,,,,,
수술 및 검사 전·후로 단순 모드 변경 후 ‘자200-2가(3)(나) 심율동 전환 제세동기 거치술-경정맥 접근-분석 및 프로그램 재설정-심방 및 심실 전극이 삽입된 경우’ 소정점수의 200% 청구 인정여부 및 수가산정방법(2사례),2024-06-04,287,공개사례,,,,,
심방세동 환자에서 잇몸 출혈로 항응고요법 유지가 어렵다고 판단하여 시행한 ‘자651-2 경피적 좌심방이 폐색술’  인정여부(1사례),2024-06-04,828,공개사례,,,,,
‘자654나(3) 삼차원 빈맥 지도화를 이용한 부정맥의 고주파절제술’  관련 인정여부(1사례),2024-06-04,501,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2024-05-29,80,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2024-05-29,132,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2024-05-23,242,공개사례,,,,,
"[자동차보험] [24-4-A-2] 환자상태 및 진료내역 참조, 인체조직유래 2차 가공뼈 인정여부(3사례)",2024-05-07,1513,공개사례,,,,,
"[자동차보험] [24-4-A-3] 환자상태 및 진료내역 참조, 척추전용형 동종골(Machined Allograft Bone Spacer) 인정여부(1사례)",2024-05-07,174,공개사례,,,,,
"[자동차보험] [24-4-A-4] 환자상태 및 진료내역 참조, 재조합골형성단백질(RHBMP-2)함유 골이식재 인정여부(4사례)",2024-05-07,91,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(11사례),2024-04-30,29,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(35사례),2024-04-30,68,공개사례,,,,,
"비뇨의학과에서 전립선증식증 등 상병에 다빈도 청구되는 전립선온열요법(R3516), 복부초음파(EB445, EB449, EB451), 신경차단술(LA248, LA271, LA357) 인정여부(12사례)",2024-04-30,761,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(2사례),2024-04-30,22,공개사례,,,,,
Voretigene neparvovec 주사제(품명: 럭스터나주) 요양급여 대상 여부(2사례),2024-04-30,30,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(2사례),2024-04-30,26,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(67사례),2024-04-30,27,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(1사례),2024-04-30,18,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(19사례),2024-03-29,34,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(46사례),2024-03-29,93,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가(3사례),2024-03-29,57,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(85사례),2024-03-29,73,공개사례,,,,,
간암 항암요법 투여대상 '국소치료 불가능' 관련 요양급여 인정여부(6사례),2024-03-29,1269,공개사례,,,,,
유방절제술 및 갑상선악성종양근치수술 후 수술부위 체액 축적 발생 시 수회 동시 시행한 단순초음파(Ⅰ) 및 유도초음파(Ⅰ)의 급여 인정 여부(7사례),2024-03-29,2472,공개사례,,,,,
다종의 시기능검사 요양급여 인정여부(10사례),2024-03-29,10588,공개사례,,,,,
Voretigene neparvovec 주사제(품명: 럭스터나주) 요양급여 대상 여부(3사례),2024-03-29,34,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(3사례),2024-03-29,19,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(70사례),2024-03-29,21,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(2사례),2024-02-29,73,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(17사례),2024-02-29,17,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(48사례),2024-02-29,105,공개사례,,,,,
심율동 전환 제세동기 거치술(ICD) 및 심장재동기화치료(CRT) 요양급여 대상여부(2사례),2024-02-29,11,공개사례,,,,,
만성 전립선염 등 비뇨기 질환에 다부위 시행 진단초음파 검사 인정 여부(54사례),2024-02-29,62,공개사례,,,,,
Burosumab 주사제(품명: 크리스비타주) 요양급여 대상 여부(2사례),2024-02-29,12,공개사례,,,,,
Asfotase alfa 주사제(품명: 스트렌식주) 요양급여 대상 여부(2사례),2024-02-29,19,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(77사례),2024-02-29,24,공개사례,,,,,
수포성 유사 천포창 등 상병에 연속 투여한 Human Immunoglobulin G 주사제(품명: 아이비글로불린에스엔주 등) 및 Rituximab(품명: 트룩시마주) 인정여부(3사례),2024-02-29,92,공개사례,,,,,
다부위 초음파 검사의 요양급여 인정여부(6사례),2024-02-29,286,공개사례,,,,,
'나560 조직병리검사[1장기당]' 인정여부 및 수가산정방법(5사례),2024-01-31,301,공개사례,,,,,
'나561 수술시 응급 조직병리검사-동결절편'과 동일 검체로 시행한 '나560조직병리검사[1장기당]'  인정여부 및 수가산정방법(1사례),2024-01-31,102,공개사례,,,,,
"진료내역 및 영상자료 등 참조, 체외충격파쇄석술(ESWL)과 초음파진단료, 요류측정 검사 인정여부(29사례)",2024-01-31,82,공개사례,,,,,
"상병 및 진료내역 참조, 누680 핵산증폭-다종그룹2-성매개감염균(12종) 인정여부(41사례)",2024-01-31,100,공개사례,,,,,
아밀로이드증이 동반된 다발골수종에 투여한 VCD 항암요법 인정여부(2사례),2024-01-31,56,공개사례,,,,,
근골격계 수술 전 시행한 상복부 초음파 요양급여 인정여부(5사례),2024-01-31,131,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(46사례),2024-01-31,121,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주 등) 요양급여 대상여부(43사례),2024-01-31,124,공개사례,,,,,
동일 병변에 다른 날 추가 실시한 '자765다 내시경적상부소화관종양수술-점막하 박리절제술(ESD)' 인정여부(1사례),2024-01-31,1216,공개사례,,,,,
"동일에 시간을 달리하거나, 날짜를 달리하여 수회 시행한‘자-762 내시경적 상부소화관 출혈지혈법’인정여부(1사례)",2024-01-31,80,공개사례,,,,,
"비정맥류성 출혈, 시술 후 출혈 환자에게 시행된 '분말지혈제를 이용한 자762 내시경적 상부 소화관 출혈지혈법' 인정여부(5사례)",2024-01-31,1480,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(16사례),2024-01-31,17,공개사례,,,,,
크리스비타주 요양급여 대상 여부(1사례),2024-01-31,17,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(91사례),2024-01-31,28,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(4사례),2024-01-31,35,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(1사례),2024-01-31,80,공개사례,,,,,
[입원료심사사례지침 적용] 공개심의사례,2024-01-24,300,공개사례,,,,,
FIMS를 시행한 입원 인정여부(10사례),2023-12-28,3598,공개사례,,,,,
방사선치료 시 별도 산정한 ‘더401 체내(체표면)선량측정’ 인정여부(5사례),2023-12-28,43,공개사례,,,,,
다빈도 청구된 ‘자430 자궁경부(질)약물소작술’ 인정여부(26사례),2023-12-28,1732,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(13사례),2023-12-28,19,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 및 Risdiplam 경구제(품명: 에브리스디건조시럽) 요양급여 대상 여부(44사례),2023-12-28,118,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가(8사례),2023-12-28,51,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(2사례),2023-12-28,30,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(94사례),2023-12-28,21,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(1사례),2023-12-28,57,공개사례,,,,,
암종별 항암요법 인정여부(3사례),2023-12-28,311,공개사례,,,,,
무탐침정위기법(기본) 인정여부(8사례),2023-11-30,63,공개사례,,,,,
"미만성거대B세포림프종(Diffuse Large B-cell Lymphoma, DLBCL)에 투여한 tisagenlecleucel(품명: 킴리아주) 인정여부(2사례)",2023-11-30,248,공개사례,,,,,
암종별 항암요법 인정여부(6사례),2023-11-30,1063,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(11사례),2023-11-30,14,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(37사례),2023-11-30,55,공개사례,,,,,
"진료내역 및 영상자료 참조, 척추고정술-전방고정(경추) 인정여부(1사례)",2023-11-30,94,공개사례,,,,,
크리스비타주 요양급여 대상 여부(4사례),2023-11-30,15,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(36사례),2023-11-30,57,공개사례,,,,,
폐결절 및 폐암에 시행한 다339가(1) 양전자방출단층촬영 PET(Positron Emission Tomography)-토르소_F-18 FDG 요양급여 인정여부(6사례),2023-11-30,3065,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(88사례),2023-11-30,17,공개사례,,,,,
"[자동차보험] [23-11-A-14] 상병 및 진료기록 참조, 동시에 시행한 물리치료와 국소주사 등 인정여부 (1사례)",2023-11-21,652,공개사례,,,,,
"[자동차보험] [23-11-A-15] 상병 및 진료기록 참조, 동시에 시행한 국소주사 등 인정여부 (1사례)",2023-11-21,3139,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(3사례),2023-10-30,55,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2023-10-30,40,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(16사례),2023-10-30,15,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(5사례),2023-10-30,55,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부(5사례),2023-10-30,27,공개사례,,,,,
크리스비타주 요양급여 대상 여부(4사례),2023-10-30,20,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(78사례),2023-10-30,22,공개사례,,,,,
악성 신생물 등 상병으로 비급여 치료를 위한 낮병동 반복 입원 인정여부(28사례),2023-10-30,901,공개사례,,,,,
암종별 항암요법 인정여부(7사례),2023-10-30,377,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-10-12,153,공개사례,,,,,
"[자동차보험] [23-10-B-11] 상병 및 진료기록 참조, 진단의 타당성 및 한방 정신요법의 적정여부(7사례)",2023-10-10,1264,공개사례,,,,,
"[자동차보험] [23-10-B-12] 수상일 및 진료기록 참조, 1년 11개월째 시행중인 자동차보험 진료수가 인정여부(1사례)",2023-10-10,146,공개사례,,,,,
"[자동차보험] [23-10-B-13] 상병 및 진료기록 참조, 한방 검사 2종 및 한방 정신요법 2종 동시 시행 인정여부(1사례)",2023-10-10,85,공개사례,,,,,
암종별 항암요법 인정여부(5사례),2023-09-27,209,공개사례,,,,,
암종별 항암요법 인정여부(6사례),2023-09-27,231,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(82사례),2023-09-27,53,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2023-09-27,18,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(36사례),2023-09-27,35,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(1사례),2023-09-27,32,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명: 졸겐스마주) 요양급여 대상 여부(1사례),2023-09-27,28,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가(3사례),2023-09-27,37,공개사례,,,,,
"바25다 척수신경총, 신경근 및 신경절차단술-미골신경 요양급여 인정여부(32사례)",2023-09-27,311,공개사례,,,,,
악성 신생물 등 상병으로 반복 입원 인정여부(26사례),2023-09-27,202,공개사례,,,,,
크리스비타주 요양급여 대상 여부(6사례),2023-09-27,27,공개사례,,,,,
조혈모세포이식 요양급여(필수)/선별급여 대상여부(107사례),2023-09-27,21,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-09-18,598,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-09-18,468,공개사례,,,,,
[입원료 심사사례지침 적용] 공개심의사례,2023-09-13,175,공개사례,,,,,
외상 후 요추의 염좌 및 긴장 등 상병으로 입원한 사례 인정여부(29사례),2023-09-01,103,공개사례,,,,,
추간판장애 등 상병으로 통증조절을 위해 시행한 입원 인정여부(17사례),2023-09-01,1641,공개사례,,,,,
내시경적 역행성 담관배액술과 동시 시행한 내시경적 역행성 췌관배액술 인정여부 및 수가산정방법(2사례),2023-09-01,108,공개사례,,,,,
3개 간관에 동시 시행한 내시경적 역행성 담관배액술 인정여부 및 수가산정방법(1사례),2023-09-01,63,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부(17사례),2023-09-01,24,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2023-09-01,29,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부(6사례),2023-09-01,61,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부(34사례),2023-09-01,48,공개사례,,,,,
"대동맥판막치환술 과거력이 있는 환자에서, 기삽입한 인공 판막 부전으로 aortic regurgitation 및 심부전되어 시행한 자658 경피적대동맥판막삽입(TAVI) 인정여부(1사례)",2023-09-01,70,공개사례,,,,,
"검사결과 비교, 인공와우 인정여부(4사례)",2023-09-01,1264,공개사례,,,,,
골성장판성장억제술 관련 수가 산정방법에 대하여(3사례),2023-09-01,531,공개사례,,,,,
크리스비타주 요양급여 대상여부(9사례),2023-09-01,63,공개사례,,,,,
스트렌식주 요양급여 대상여부(2사례),2023-09-01,31,공개사례,,,,,
조혈모세포이식 요양급여(필수)선별급여 대상여부(94사례),2023-09-01,31,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2023-07-28,84,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2023-07-28,34,공개사례,,,,,
암종별 항암요법 인정여부(5사례),2023-07-28,318,공개사례,,,,,
암종별 항암요법 인정여부(3사례),2023-07-28,644,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2023-07-28,19,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2023-07-28,56,공개사례,,,,,
치매 등 상병에 치매검사와 너701 증상 및 행동 평가 척도검사 등 인정여부,2023-07-28,911,공개사례,,,,,
크리스비타주 요양급여 대상 여부(21사례),2023-07-28,26,공개사례,,,,,
외상 등의 사유로 시행한 입원 인정여부-이의신청(5사례),2023-07-28,1225,공개사례,,,,,
FIMS 시술을 시행한 입원 인정여부(10사례),2023-07-28,431,공개사례,,,,,
관절조영 인정 여부(12사례),2023-07-28,455,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부(107사례),2023-07-28,20,공개사례,,,,,
"[자동차보험] [23-7-A-8] 환자상태 및 진료기록 참조, 신장분사치료 인정여부(4사례)",2023-07-18,270,공개사례,,,,,
외상 후 요추의 염좌 및 긴장 등 상병으로 입원한 사례 인정여부,2023-06-30,1291,공개사례,,,,,
추간판장애 등 상병으로 통증조절 위해 입원한 사례 인정여부,2023-06-30,113,공개사례,,,,,
외상 후 요추의 염좌 및 긴장 등 상병으로 비수술적 척추시술 시행 및 입원한 사례 인정여부,2023-06-30,67,공개사례,,,,,
Onasemnogene abeparvovec 주사제(품명:졸겐스마주) 성과평가,2023-06-30,100,공개사례,,,,,
Nusinersen sodium 주사제(품명: 스핀라자주) 요양급여 대상 여부,2023-06-30,79,공개사례,,,,,
심실 보조장치 치료술(VAD*) 요양급여 대상여부,2023-06-30,25,공개사례,,,,,
Eculizumab 주사제(품명: 솔리리스주) 및 Ravulizumab(품명: 울토미리스주) 요양급여 대상여부,2023-06-30,60,공개사례,,,,,
면역관용요법(Immune Tolerance Induction) 요양급여 대상여부,2023-06-30,23,공개사례,,,,,
암종별 항암요법 인정여부,2023-06-30,434,공개사례,,,,,
"진료내역 참조, 미분류된 수술 행위‘Endoscopic septostomy’의 수가산정방법에 대하여(5사례)",2023-06-30,58,공개사례,,,,,
"자473-1 두개강내 신경자극기 설치, 교환 및 제거술 수가산정방법에 대하여(3사례)",2023-06-30,74,공개사례,,,,,
크리스비타주 요양급여 대상 여부,2023-06-30,27,공개사례,,,,,
조혈모세포이식 요양급여 및 선별급여 대상 여부,2023-06-30,24,공개사례,,,,,
[입원료 심사사례지침 적용] '결장경하 종양수술-폴립절제술'로 입원한 사례 인정여부 <공고 제2023-90호> 공개심의사례,2023-06-21,70,공개사례,,,,,
Nusinersen sodium 주사제(품명 스핀라자주) 요양급여 대상 여부,2023-05-31,79,공개사례,,,,,
심실 보조장치 치료술(VAD) 요양급여 대상여부,2023-05-31,19,공개사례,,,,,
미만성거대B세포림프종(DLBCL)에 투여한 tisagenlecleucel(품명 킴리아주) 인정여부,2023-05-31,240,공개사례,,,,,
